C36H72O13P2
C36H70O13P2
C38H74O13P2
C40H80O13P2
C40H78O13P2
C40H76O13P2
C40H76O13P2
C42H82O13P2
C42H80O13P2
C42H78O13P2
C42H76O13P2
C44H86O13P2
C44H84O13P2
C44H82O13P2
C44H80O13P2
C44H80O13P2
C46H84O13P2
C46H82O13P2
C46H82O13P2
C46H80O13P2
C46H80O13P2
